Time,Type,Model,ID,description,position X,position Y,position Z,yawAngle,pitchAngle,rollAngle,direction X,direction Y,direction Z,bodyPitchAngle,bodyRollAngle,RPM,gearNumber,speedVectInMetresPerSecond X,speedVectInMetresPerSecond Y,speedVectInMetresPerSecond Z,speedInKmPerHour,speedInMetresPerSecond,localAccelInMetresPerSecond2 X,localAccelInMetresPerSecond2 Y,localAccelInMetresPerSecond2 Z,bodyRotSpeedInRadsPerSecond Yaw,bodyRotSpeedInRadsPerSecond Pitch,bodyRotSpeedInRadsPerSecond Roll,bodyRotAccelInRadsPerSecond Yaw,bodyRotAccelInRadsPerSecond Pitch,bodyRotAccelInRadsPerSecond Roll,rotSpeedInRadsPerSecond Yaw,rotSpeedInRadsPerSecond Pitch,rotSpeedInRadsPerSecond Roll,rotAccelInRadsPerSecond Yaw,rotAccelInRadsPerSecond Pitch,rotAccelInRadsPerSecond Roll,distanceTravelled,steering,steeringVelocity,turningCurvature,throttle,brake,lightState,automaticControl,dragForce,mass,wheelBase,centerOfGravityHeight,centerOfGravityPosition,rollAxisHeight,trailer,trailerAngle,trailerPitchAngle,trailerWheelbase,inIntersection,road,distanceAlongRoad,distanceToLeftBorder,distanceToRightBorder,carriagewayWidth,offsetFromRoadCenter,offsetFromLaneCenter,roadLongitudinalSlope,roadLateralSlope,laneNumber,laneWidth,laneDirection X,laneDirection Y,laneDirection Z,laneCurvature,drivingForwards,speedLimit,speedOver,leftLaneOverLap,rightLaneOverLap,collisionWithUser,
0.722304331722381,oo,car,5,,2164.15478515625,4.57501935958862,4331.93226315036,2.15879894687382,-8.48055061503772E-5,-0.0156246004626155,0.832050263881683,8.48055060487241E-5,-0.554700195789337,-8.48055060487241E-5,-0.0156246004626155,997,0,0,0,0,50.0006607055664,13.8890724182129,0,0,0.0108099207282066,0,0,0,0,0,0,0,0,0,0,0,0,0.234876379370689,0,0,0,0.0500000007450581,0,,Auto,80.0627105618132,2181.36572265625,2.79999995231628,0.600000023841858,1.20000004768372,0.349999994039536,,N/A,N/A,N/A,False,Road 1,0.234830692410469,0,0,0,0,0,0,0,2,0,0,0,0,0,True,50,True,0.521129876410163,2.11089558246194,N/A,
0.739616495084586,oo,car,5,,2164.35424804688,4.57503986358643,4332.06507565036,2.15879894687382,-8.42946247846713E-5,-0.015624551102519,0.832050263881683,8.42946246848442E-5,-0.554700195789337,-8.42946246848442E-5,-0.015624551102519,997,0,0,0,0,50.0013336181641,13.8892593383789,0,0,0.0108036128804088,0,0,0,0,0,0,0,0,0,0,0,0,0.474621295928955,-2.26414476856007E-6,0,0,0.0500000007450581,0,,Auto,80.0648655560996,2181.36572265625,2.79999995231628,0.600000023841858,1.20000004768372,0.349999994039536,,N/A,N/A,N/A,False,Road 1,0.474469065666199,0,0,0,0,0,0,0,2,0,0,0,0,0,True,50,True,0.521129876410163,2.11089558246194,N/A,
0.755736285705361,oo,car,5,,2164.541015625,4.5750584602356,4332.18958736911,2.15879894687382,-8.41243309961075E-5,-0.0156244998797774,0.832050263881683,8.41243308968842E-5,-0.554700195789337,-8.41243308968842E-5,-0.0156244998797774,997,0,0,0,0,50.0019618988037,13.8894338607788,0,0,0.0108081512153149,0,0,0,0,0,0,0,0,0,0,0,0,0.699060082435608,-4.57464329883805E-6,0,0,0.0500000007450581,0,,Auto,80.0668776432718,2181.36572265625,2.79999995231628,0.600000023841858,1.20000004768372,0.349999994039536,,N/A,N/A,N/A,False,Road 1,0.698939561843872,0,0,0,0,0,0,0,2,0,0,0,0,0,True,50,True,0.521129876410163,2.11089558246194,N/A,
0.772335345908582,oo,car,5,,2164.73266601563,4.57507801055908,4332.31751705661,2.15879894687382,-8.48055061503772E-5,-0.0156244533136487,0.832050263881683,8.48055060487241E-5,-0.554700195789337,-8.48055060487241E-5,-0.0156244533136487,997,0,0,0,0,50.0026073455811,13.8896131515503,0,0,0.0108093833550811,0,0,0,0,0,0,0,0,0,0,0,0,0.929358959197998,-6.73889962854446E-6,0,0,0.0500000007450581,0,,Auto,80.0689447318312,2181.36572265625,2.79999995231628,0.600000023841858,1.20000004768372,0.349999994039536,,N/A,N/A,N/A,False,Road 1,0.929368853569031,0,0,0,0,0,0,0,2,0,0,0,0,0,True,50,True,0.521129876410163,2.11089558246194,N/A,
0.789041059212552,oo,car,5,,2164.92553710938,4.57509756088257,4332.44593502536,2.15879894687382,-8.41243309961075E-5,-0.0156244039535522,0.832050263881683,8.41243308968842E-5,-0.554700195789337,-8.41243308968842E-5,-0.0156244039535522,997,0,0,0,0,50.0032562255859,13.8897933959961,0,0,0.0108022624626756,0,0,0,0,0,0,0,0,0,0,0,0,1.1611236333847,-8.96060828381451E-6,0,0,0.0500000007450581,0,,Auto,80.0710228424384,2181.36572265625,2.79999995231628,0.600000023841858,1.20000004768372,0.349999994039536,,N/A,N/A,N/A,False,Road 1,1.16108477115631,0,0,0,0,0,0,0,2,0,0,0,0,0,True,50,True,0.521129876410163,2.11089558246194,N/A,
0.805669125489199,oo,car,5,,2165.11791992188,4.57511711120605,4332.57435299411,2.15879894687382,-8.49757926629932E-5,-0.0156243555247784,0.832050263881683,8.49757925607264E-5,-0.554700195789337,-8.49757925607264E-5,-0.0156243555247784,997,0,0,0,0,50.0039051055908,13.8899736404419,0,0,0.0108084883540869,0,0,0,0,0,0,0,0,0,0,0,0,1.39224672317505,-1.11947210825747E-5,0,0,0.0500000007450581,0,,Auto,80.073100980013,2181.36572265625,2.79999995231628,0.600000023841858,1.20000004768372,0.349999994039536,,N/A,N/A,N/A,False,Road 1,1.3923944234848,0,0,0,0,0,0,0,2,0,0,0,0,0,True,50,True,0.521129876410163,2.11089558246194,N/A,
0.822377070029586,oo,car,5,,2165.31225585938,4.57513666152954,4332.70374752536,2.15879894687382,-8.41243309961075E-5,-0.0156243061646819,0.832050263881683,8.41243308968842E-5,-0.554700195789337,-8.41243308968842E-5,-0.0156243061646819,997,0,0,0,0,50.0082790374756,13.891188621521,0,0,0.0722457841038704,0,0,0,0,0,0,0,0,0,0,0,0,1.62584221363068,-1.3424917597149E-5,0,0,0.100000001490116,0,,Auto,80.0871098701811,2181.36572265625,2.79999995231628,0.600000023841858,1.20000004768372,0.349999994039536,,N/A,N/A,N/A,False,Road 1,1.62587082386017,0,0,0,0,0,0,0,2,0,0,0,0,0,True,50,True,0.521129876410163,2.11089558246194,N/A,
0.839089477042808,oo,car,5,,2165.50537109375,4.57515621185303,4332.83265377536,2.15879894687382,-8.48055061503772E-5,-0.015624257735908,0.832050263881683,8.48055060487241E-5,-0.554700195789337,-8.48055060487241E-5,-0.015624257735908,997,0,0,0,0,50.01262550354,13.8923959732056,0,0,0.0722547471523285,0,0,0,0,0,0,0,0,0,0,0,0,1.85795164108276,-1.56760033860337E-5,0,0,0.100000001490116,0,,Auto,80.101032006248,2181.36572265625,2.79999995231628,0.600000023841858,1.20000004768372,0.349999994039536,,N/A,N/A,N/A,False,Road 1,1.8580607175827,0,0,0,0,0,0,0,2,0,0,0,0,0,True,50,True,0.521129876410163,2.11089558246194,N/A,
0.855674257332958,oo,car,5,,2165.70239257813,4.57517623901367,4332.96400143161,2.15879894687382,-8.49757926629932E-5,-0.0156242083758116,0.832050263881683,8.49757925607264E-5,-0.554700195789337,-8.49757925607264E-5,-0.0156242083758116,997,0,0,0,0,50.017057800293,13.893627166748,0,0,0.0722486898303032,0,0,0,0,0,0,0,0,0,0,0,0,2.09474992752075,-1.79146882146597E-5,0,0,0.100000001490116,0,,Auto,80.1152303120787,2181.36572265625,2.79999995231628,0.600000023841858,1.20000004768372,0.349999994039536,,N/A,N/A,N/A,False,Road 1,2.09485507011414,0,0,0,0,0,0,0,2,0,0,0,0,0,True,50,True,0.521129876410163,2.11089558246194,N/A,
0.872322850984645,oo,car,5,,2165.89306640625,4.5751953125,4333.09095455661,2.15879894687382,-8.41243309961075E-5,-0.0156241580843925,0.832050263881683,8.41243308968842E-5,-0.554700195789337,-8.41243308968842E-5,-0.0156241580843925,997,0,0,0,0,50.0213493347168,13.8948192596436,0,0,0.0722476691007614,0,0,0,0,0,0,0,0,0,0,0,0,2.32403564453125,-2.01977654796792E-5,0,0,0.100000001490116,0,,Auto,80.128978902415,2181.36572265625,2.79999995231628,0.600000023841858,1.20000004768372,0.349999994039536,,N/A,N/A,N/A,False,Road 1,2.32393026351929,0,0,0,0,0,0,0,2,0,0,0,0,0,True,50,True,0.521129876410163,2.11089558246194,N/A,
