Time(s),Vehicle Name,Road Name,Travelled Distance (m),Speed(km/h),Steering Wheel Angle(-1..1),Acceleration(m/s^2),Accelerate (0..1),Brake (0..1),X Pos(m),Y Pos(m),Z Pos(m),Distance to the left border(m),Distance to the right border(m)
0.517987598760322,[user's car],,6.56335808356188,45.4668262481689,0,-0.0550283640623093,0,0,4045.2625, 5547.0856, 3.0000,0.0000, 0.0000
0.529612366432312,[user's car],,6.71015405632032,45.4603065490723,0,-0.0558636486530304,0,0,4045.1443, 5547.0126, 3.0000,0.0000, 0.0000
0.549227655790852,[user's car],,6.95778872262274,45.44846534729,0,-0.0550951771438122,0,0,4044.9294, 5546.8800, 3.0000,0.0000, 0.0000
0.569563189871949,[user's car],,7.21444598652088,45.4360404968262,0,-0.0554502606391907,0,0,4044.7041, 5546.7406, 3.0000,0.0000, 0.0000
0.597873180701547,[user's car],,7.57160564575014,45.41770362854,0,-0.0553336516022682,0,0,4044.3713, 5546.5350, 3.0000,0.0000, 0.0000
0.613856901564323,[user's car],,7.77321730917674,45.408825302124,0,-0.0554142259061337,0,0,4044.2102, 5546.4354, 3.0000,0.0000, 0.0000
0.632057583877942,[user's car],,8.0027419664966,45.3987796783447,0,-0.0554004646837711,0,0,4044.0278, 5546.3229, 3.0000,0.0000, 0.0000
0.652227113599193,[user's car],,8.25703231468143,45.3875358581543,0,-0.0552838519215584,0,0,4043.8240, 5546.1969, 3.0000,0.0000, 0.0000
0.673965652269953,[user's car],,8.53103283970003,45.3757221221924,0,-0.0545206367969513,0,0,4043.6096, 5546.0643, 3.0000,0.0000, 0.0000
0.683079827123417,[user's car],,8.64589477553625,45.3692161560059,0,-0.0557332746684551,0,0,4043.4917, 5545.9916, 3.0000,0.0000, 0.0000
0.703321202817611,[user's car],,8.90092144620769,45.3573921203613,0,-0.0544983670115471,0,0,4043.2771, 5545.8590, 3.0000,0.0000, 0.0000
0.725352034111218,[user's car],,9.17841805114057,45.3449878692627,0,-0.0553198866546154,0,0,4043.0522, 5545.7201, 3.0000,0.0000, 0.0000
0.734580448524145,[user's car],,9.29464240836459,45.3390655517578,0,-0.0552255474030972,0,0,4042.9451, 5545.6539, 3.0000,0.0000, 0.0000
0.756150751593664,[user's car],,9.56623215207721,45.3272758483887,0,-0.0549202635884285,0,0,4042.7307, 5545.5216, 3.0000,0.0000, 0.0000
0.765191741729346,[user's car],,9.68005012305666,45.3207767486572,0,-0.0557693094015121,0,0,4042.6128, 5545.4486, 3.0000,0.0000, 0.0000
0.785571454390079,[user's car],,9.93654552229276,45.3089527130127,0,-0.054803654551506,0,0,4042.3987, 5545.3163, 3.0000,0.0000, 0.0000
0.807196645997934,[user's car],,10.2086454955205,45.2971664428711,0,-0.0552615821361542,0,0,4042.1846, 5545.1842, 3.0000,0.0000, 0.0000
0.816714229295753,[user's car],,10.3283837089505,45.2906536102295,0,-0.0552478209137917,0,0,4042.0669, 5545.1115, 3.0000,0.0000, 0.0000
0.83896149100475,[user's car],,10.608194110372,45.2782665252686,0,-0.0543817579746246,0,0,4041.8420, 5544.9725, 3.0000,0.0000, 0.0000
0.848294773763278,[user's car],,10.7255647766555,45.2717880249023,0,-0.0547453500330448,0,0,4041.7244, 5544.8998, 3.0000,0.0000, 0.0000
